"Magnitud","Profundidad","Region","Aumento"
5.3,13.8,8,-7
5.5,23,8,-7
5,169.1,2,-4
5,201.4,1,1
5,240.9,1,-1
5,35,9,9
5.2,132,15,-5
5.9,12.8,7,-4
6.3,11.9,7,-4
5.2,24.7,2,5
6.5,19.8,4,5
5.2,18,8,5
5,113.3,2,4
5.2,35.7,13,-6
5.1,13.3,5,-2
5.3,10,15,5
5,12,13,-4
5.2,84.6,2,5
5,17.7,13,-10
5.1,109.8,4,-2
5.5,65,2,4
5.7,25.6,1,4
5.2,26.8,1,2
5.4,87,1,-11
5.2,35,11,-11
5.7,28.3,1,1
5.2,103.3,4,0
5.6,599.3,1,-2
5.7,116.7,15,3
5.2,44.7,15,-14
5,35.5,1,3
5,25.6,9,-9
5.2,107.3,2,-9
5.8,96,2,-7
5.2,44.2,6,-7
5,23.1,4,-2
5.3,10,10,2
5.3,17,11,2
5.2,23,11,2
5,23,11,2
5.4,10,11,2
5.2,13.1,5,-13
5.8,17,13,3
5.2,7.8,13,3
5.4,58.7,13,-4
5,168.8,2,2
5.2,47.9,6,5
6.7,9.4,1,1
5,17.8,1,1
5.1,19.3,1,5
5.2,6.6,1,5
6.4,5.3,1,5
5,8.5,1,5
5.1,10,1,5
5.1,15.4,1,5
5,26.1,1,5
5.1,26.1,1,-12
5.8,7.5,1,-12
5.1,6.3,1,-12
5.1,95.7,2,-4
6.2,4.4,1,5
5.2,4.6,1,5
5.6,17.1,1,5
5.1,18.6,1,5
6.2,13.9,1,11
5.3,23.1,1,11
5.2,19.7,1,11
5.8,9.8,1,0
5.3,23.5,1,0
5.7,18.9,1,0
5.1,22.5,1,0
5,32.8,2,0
5.7,12.7,1,0
5.1,21.9,1,0
5.3,25.2,1,-5
5.1,95.1,15,-5
5.7,3.7,3,-2
5.2,1,3,13
5.5,111.6,1,-15
8.1,17.1,1,-5
5,5.3,1,-5
7,10.8,1,-5
5.8,10,1,-5
5.7,14.6,1,6
5.6,16.3,1,6
5.6,15.2,1,6
5.1,22,1,6
5.3,10,1,6
5.1,10,1,6
5.2,10,1,6
5.4,15.4,1,6
5,0,1,6
5.4,20.3,1,6
5.2,21.5,1,6
5.1,15.6,1,6
5.2,15.7,1,6
5.1,15.5,1,6
5.7,16.1,1,6
5.2,5.6,1,6
5,16.8,1,6
5,10,1,6
5.2,14.9,1,6
5,31.2,1,6
5.4,27.3,1,6
5.1,17.8,1,6
5.1,24.6,1,6
5.3,17,1,6
5.2,9.1,1,-2
6.6,10.6,1,-2
7.7,12,1,-2
5.5,4,1,-2
5,27.4,1,-2
5.4,19.8,1,-2
5.2,17.5,1,-2
5.1,27.2,1,-2
6.5,13,1,-2
5.6,11.2,1,-2
5,9.3,1,-2
5.5,21.3,1,-2
5,19.6,1,-2
5,24.3,1,-2
5.4,9.2,1,-2
5.1,5.5,1,-2
5.1,6.6,1,-2
5.2,5.6,1,-2
5,21.2,1,-2
5.3,8.1,1,-2
5.1,14.1,1,-2
6.2,19.3,1,13
5.2,25.1,1,13
5.4,99.5,4,13
5,11.4,1,13
5,7.6,1,13
5.1,23.5,1,13
5.1,28.4,1,-2
5.6,40.1,5,-2
5.1,22.7,1,-2
5,15.9,1,-2
5.3,38.8,1,-2
5,12.4,1,-2
5.3,19.7,1,6
5.8,10.6,1,-15
5.4,12.1,1,-15
5.1,9.8,1,-15
5,26.6,1,-5
5.6,4.8,1,-5
5,17.2,1,-4
5.2,23.9,1,-4
5.3,15,3,1
5.1,23.3,1,1
6.1,10.4,1,-3
5,12,13,-3
5,20.7,1,-3
5.4,7.6,1,-3
5.3,29.5,1,2
5.3,19.6,1,-1
5.1,18.4,1,-1
5,21.9,1,-1
5.1,19.5,1,-1
5,14,1,14
5.8,14.9,1,9
5,21.3,1,-21
5.3,9.5,1,-7
5.2,31.4,1,0
5,31.8,1,0
5.2,23.9,5,-6
5.1,6.6,1,5
5.1,11.7,1,0
5.4,23.6,1,2
5.6,223.3,2,-2
5.3,27.1,1,-2
5.5,104.7,2,3
5.5,10.8,1,0
5.1,40.9,4,-2
5.3,10.9,7,-7
5.1,58.8,1,-7
5.6,57.6,1,-7
5,22.4,13,-7
5.1,8.3,1,0
5.3,57,15,-6
5,100.8,2,-1
5.8,5.4,1,3
5.8,14.9,1,3
5.3,37.2,1,3
5.5,19.4,1,-2
5.8,14.2,1,-2
5.1,3.9,13,0
5,16,15,-5
5.4,91,4,-1
5.6,33.1,1,-1
5.2,10,15,-1
5,14.8,1,12
5.1,25.6,1,-8
5.6,118.7,1,3
5,11.8,4,4
5.2,0,13,-4
5,197.1,2,-3
5.3,44,1,10
5.6,102,1,5
6.4,32,5,5
5.5,62,15,-2
5,10,3,2
5.3,10,11,9
5,28.1,1,2
5,12.9,7,11
5.1,10,11,2
6.2,204.5,2,9
5.3,19.5,7,16
5.1,10,15,-9
5.4,103.1,1,-15
5.2,9,1,-15
5,125.9,2,5
5.1,22.1,13,-1
5.2,15.5,13,19
5.1,10,11,13
5,13.5,13,17
5.1,60.7,15,-1
5,24.3,1,-3
5.5,106.1,2,-5
5.3,10,11,2
5,150,15,-4
5.1,21.7,1,9
5.4,15.4,1,-6
5.1,55.8,2,1
5.2,20,1,-5
5,15.1,6,2
5.4,109.3,2,11
5,54,15,-9
5.2,13,5,4
5.1,31.8,2,-13
5,120.2,15,30
5,12,8,1
6.3,172.7,5,-10
5.3,14.1,2,-10
5.5,198.8,2,9
6.7,203.6,2,9
5.4,80.7,5,-9
5,167.7,2,-6
5.3,203.5,2,10
5,56.5,15,0
5,2.1,3,0
5.3,31.1,3,14
5.2,104.6,1,-10
5,7.8,6,-10
5.2,41.2,3,-10
5,10,11,8
5,35,11,9
5.1,33.3,3,-2
5,18.6,15,0
6.1,9.7,7,0
5.4,10,7,0
5,18.5,7,7
5,6.7,7,7
6.4,127.1,15,-7
5.1,20.6,1,-7
5.7,107.8,2,9
5.3,245.3,2,-22
5.4,20.8,4,25
5.2,115.9,1,-9
5.1,14.4,5,-3
5.2,6.8,3,-1
5.4,26,15,-1
5.3,19.7,1,0
5.1,121.6,15,0
5,16.2,1,0
5.6,120,2,4
5.2,49.4,3,1
5,23.9,1,-7
5.1,20.5,13,4
6.1,121.8,2,-2
6.4,17.4,16,2
5.4,10.8,16,2
5.1,123.8,2,-6
5.8,35,15,-3
5.2,12.1,4,3
5.3,17.2,7,-7
5.1,12.7,7,-3
5.3,34.5,1,14
5,40.5,7,-8
5.2,9.8,4,18
5.2,30.3,4,1
5.5,30.4,4,-3
5.7,34.7,4,0
5,10,15,12
5.4,97.2,1,-6
5,60,8,2
5.1,38.5,9,4
5.2,6.2,2,4
5,10,4,0
5,9.76,1,0
8.3,22.44,4,1
6.4,26.7,4,1
6.1,19.1,4,1
5.6,37.8,4,1
5.7,35,4,1
5.2,29.47,4,1
6.1,35,4,1
7,28.41,4,1
5.7,32.1,4,1
5.5,20.71,4,1
5.1,23.57,4,1
5.3,35,4,1
5.2,19.47,4,1
5.1,27.52,4,1
5.3,11.34,4,1
5.9,12.46,4,1
5.3,16.17,4,1
5.1,17.18,4,1
5,10,4,1
5,10,4,10
5,10,4,10
5.1,21.66,4,10
5.2,10,4,10
5,12.1,4,10
5,20.48,4,10
5.1,11.61,4,10
5,10,4,10
5.2,10,4,10
5.1,35,4,10
5.8,9.29,4,10
5.1,32.68,4,10
6.4,42.32,4,10
5,10,4,10
5,10,4,10
5.5,35,4,10
5.2,47.1,4,10
6.5,27,4,10
5.7,15.97,4,10
5.1,17.98,4,10
5,29.24,4,10
6.8,23,4,10
6.7,23,4,10
5.4,35,4,10
5.5,17.62,4,10
5.1,4.75,4,10
5.2,19.8,4,10
5.2,9.25,4,10
5.5,10,4,10
5.1,10.74,15,10
5.2,38.17,4,10
5.3,7.14,5,10
5.9,10,5,10
5.9,10,5,10
5.9,10,5,10
5.7,10,4,10
5.3,35,4,10
5.3,10,4,10
5,16.38,5,10
5.5,5.69,4,10
5.2,23.23,4,10
5.1,10,4,10
5,5.69,4,5
5.5,6,5,5
5.6,6,5,5
6.2,8,5,5
5.2,30.1,4,5
5,10,4,9
6.1,6,4,9
5.4,8,4,9
5.8,28,4,9
5.7,28,4,9
6.2,18,5,9
6.2,18,5,9
5.6,10,4,9
5.6,10,4,9
5,45.46,4,-14
5.1,13.06,4,-14
5.1,8.62,4,-14
5,35,4,-14
6.1,30,4,-5
6.1,30,4,-5
5.4,25.57,4,-5
6.6,35,4,-5
5.5,26.95,4,-5
5.7,28.4,4,-5
5.6,28.36,4,-5
6.1,58,4,-5
6,58,4,-5
5,10,4,5
5.2,41.04,4,-1
6.3,46,4,17
5,29.03,4,17
5.4,36.9,4,2
6,219,2,11
5.9,219,2,11
5.8,14.53,8,2
5.9,38,4,2
5.1,28.54,4,2
5.5,5.89,4,11
5,29.9,4,11
5.3,92,15,11
5.9,34,4,-22
5.5,35,4,5
5.6,21,4,4
5,19.65,4,4
5.7,17,2,-5
5.8,17,2,-5
5.6,10.1,10,-5
5.6,10.13,10,-5
5,46.02,4,-4
5,39.92,4,5
5,115.72,15,-17
5.8,111,2,9
5.4,8.49,4,9
6.2,13,4,13
6.8,46,4,13
5.7,42,4,13
5.7,159.86,15,-13
5.3,101,2,-11
5.3,109.34,2,-11
6.9,12,4,-2
5.1,10,4,-2
5.1,10,4,-2
6.9,10,4,-2
5.1,10,4,-2
5.6,27,4,0
5.8,27,4,-3
5,10.13,4,4
6.2,34,2,-8
5.6,10,4,1
5.8,11,2,-11
5.5,10,2,-11
5.3,179.34,2,-1
5,117.31,15,7
5.3,11.57,2,-11
5.5,49.53,4,-6
5.6,25,4,-4
5.5,10,7,-4
5,37.86,7,-2
5.8,48.34,4,5
5,11.66,4,6
5,22.6,10,-10
5.7,24.17,4,11
5,90.29,1,-12
5,36.87,3,-12
5,49.06,15,5
5,26.27,4,-16
5,25.85,4,26
6.3,29,4,-14
5,28.79,4,-14
5.1,33.84,4,-14
5,104.56,15,7
5.4,10.37,15,-4
5.2,30.21,4,-5
5,10,15,6
5.9,10.15,4,-3
5.2,84.32,2,0
5.2,33.44,15,12
5,45.73,15,-7
5,94.43,15,3
5.1,36.83,4,-3
5.3,25.41,4,-7
5.3,24.36,4,-5
5.3,29.74,4,5
5.3,220.9,1,3
5.1,110.52,13,8
5.3,59.32,3,3
5.2,42.04,4,-5
5,17.46,4,2
5.1,173.47,2,2
5.4,24.68,4,6
5.2,148.4,2,1
5.1,156.55,3,-1
5.1,25.77,4,4
5.3,9.52,2,4
5,174.56,2,-4
5.1,37.33,15,0
5.8,28,4,0
5.1,97.17,1,0
5.5,28.31,4,3
5.4,29.5,4,3
5.7,186,2,1
5.1,26.01,4,1
5.5,118.96,2,-3
5,45.67,4,-2
5.1,11.13,1,-1
5.1,588.41,1,1
5.2,23.97,4,-4
5,35,4,-4
5.8,8.01,4,-2
5,27.54,2,5
6.1,72,3,6
5.9,10,11,5
5.4,121,2,5
6.2,270,2,-1
5,29.95,4,-6
5,84.92,4,0
5,100,1,0
5.5,20,15,-10
5.3,103.93,2,-3
5.1,18.26,1,-3
5.5,19.17,7,-4
5,148.46,1,-4
5.3,98.83,1,-9
5,121.4,2,-4
5.6,157.56,4,2
5,101.34,15,-8
5,127.44,2,-8
5.1,104.4,2,16
5,10,3,5
5.9,14.8,13,5
5.2,10,13,11
5.2,49.58,2,-12
5.1,108.63,2,-6
5.1,119.04,2,-4
5.1,113.29,1,5
6.4,90.79,7,3
5.9,17.3,16,-8
5.7,121.05,3,-5
5.7,109.15,3,-5
5.1,128.98,4,-5
6.4,115.79,4,4
5.3,191.41,2,-8
5.2,30,4,3
5,10,4,-3
5,36.23,4,-7
5.1,103.32,1,3
7.6,38,10,3
5.6,14.93,11,3
5.2,5.71,10,3
5.2,43.13,1,-21
5.5,9.08,10,-21
5.8,172,2,14
5,93.1,4,-3
5.8,72,2,-12
5.2,133.55,15,9
5,35.23,4,9
5.1,10,5,28
5.2,180.58,2,7
5.4,9.84,4,6
6.3,222,2,15
6.5,595.98,1,-17
5.2,108.33,1,0
5,31.92,3,14
5.6,10,11,-4
5.2,14.07,4,1
5,45.34,6,8
5.1,45.9,4,-6
5.1,177.05,2,2
5.1,122.91,2,1
5,85.59,7,-10
5.2,31.88,4,0
5.1,11.92,15,1
5.1,83.12,3,-4
5.4,37.93,4,22
5.3,104.74,2,27
6.2,155,2,-20
5,112.76,2,-5
5.2,120.2,3,2
6,21,5,6
5.6,20,5,6
6.9,28,5,4
5.2,18,5,4
5.4,13.21,5,4
5,17.76,13,4
5.2,21.52,13,16
5.4,107.14,1,-5
5.1,24.03,13,-1
5.9,22,13,-2
5.1,10,13,-2
5.4,23.19,13,-2
5.8,28,13,-2
5.3,20.91,13,-2
5.1,18.32,13,4
5,10.9,1,-4
5.1,10,15,-4
5.1,47.51,15,-1
5.4,10,11,-4
5.1,13.86,15,-4
5.2,10.24,5,1
5.6,124.45,1,3
5,166.23,5,0
5.1,10,11,-3
5.9,80.7,8,-8
5.1,103.45,2,-3
5.3,94.98,2,0
5.1,10,15,3
5.7,27,4,-6
5,113.27,9,1
5.8,97,15,4
5.1,53.15,4,6
5.3,107.2,2,6
5.9,13,7,3
5.5,10,7,0
5.3,10,13,9
6.4,44.92,15,2
5.2,91.89,2,5
5.3,47.09,1,-5
5,69.6,2,-1
5.6,85.07,3,3
5.5,88.16,13,-1
5.3,41.07,3,-1
5.6,41,15,2
5,116.53,3,2
5.8,9,4,-4
5.2,10,1,-4
5,10,11,-1
5.1,6.23,4,-1
5.1,10,11,7
5.1,100.57,5,-7
5.1,62.04,1,-1
5.2,222.22,2,14
5.9,17,4,-5
5.3,92.59,15,-6
5,117.99,4,26
5,232.1,1,-14
5.2,126.96,2,5
5.5,110.18,2,-5
6.3,82.43,15,-9
5.5,165.65,4,1
5,21.64,7,-11
5,96.61,1,-1
5,110.9,1,1
5.5,10,1,3
5.5,46.73,2,-2
5.2,103.33,1,-1
